message,is_useful,source_file,source_line
I'm not sure you need to do `len(location) > 0`  I think `location[0] if location else None` will work the same since an empty list if a falsy value.,1,CS-corpus.txt,1
"I think here you could write  ``` if location:    self._parse_state_and_zip(location[0], anchor_data) ``` and then get rid of `state_and_zip = location[0] if len(location) > 0 else None`",1,CS-corpus.txt,2
This could be an `elif`.,1,CS-corpus.txt,3
"This seems like a weird check, why is needed?  Is so we don't put the zip code into `anchor_data[KEY.STATE]`",0,CS-corpus.txt,4
"I think this could be made more generic to the length of `address_city_list`, but feel free to discuss. I'm thinking something like: ``` if address_city_list:     anchor_data[KEY.CITY] = unicode(address_city_list[-1]).strip()     anchor_data[KEY.ADDRESS] = unicode("","".join(address_city_list[:-1])) ``` Thoughts?",1,CS-corpus.txt,5
Do you want a space after the comma?,1,CS-corpus.txt,6
"We also have the same or similar code in both if statements.  We could potentially write  ``` if len(address_city_list) > 1:  # City and address outside of span     anchor_data[KEY.CITY] = unicode(address_city_list[1]).strip()     anchor_data[KEY.ADDRESS] = unicode(address_city_list[0]) if len(address_city_list) > 2:    anchor_data[KEY.ADDRESS] += "","" + unicode(address_city_list[1]) ```  but I'm not sure if this reads as clearly as just doing and `elif` statement.",1,CS-corpus.txt,7
"I've also proposed a solution to this, and I think either would be fine. One thing to note is you need to be getting the city from `address_city_list[-1]`.",1,CS-corpus.txt,8
No need to put required=False for these. That's the default.,1,CS-corpus.txt,9
We'll need the instagram account id.,1,CS-corpus.txt,10
This type of key construction makes it impossible to have multiple Instagram accounts for one Account group. I know there's no use case right now for storing multiple Instagram accounts but I don't think we should build in that limitation. Maybe I'm just being paranoid though.,1,CS-corpus.txt,11
I'm not sure how useful this will be. We're always going to request all the permissions that our app is approved for.,1,CS-corpus.txt,12
Permissions should be a repeated field. https://www.instagram.com/developer/authorization/,1,CS-corpus.txt,13
I don't understand why we are using vdatastore stuff in this model instead of making a vobject in the vobject lib and inheriting from that,0,CS-corpus.txt,14
should that 7 be a kwarg with default 7? Will allow us to override the call.,1,CS-corpus.txt,15
If you're mocking the put do you need VGaeTestCase?,1,CS-corpus.txt,16
"Instead of asserting the count is 1, perhaps you could assert that you get the proper post back. self.assertEqual(result, [test_facebook_post])   You wont be able to reuse that variable name though.",1,CS-corpus.txt,17
"Perhaps also self.assertIsInstance(result, list)",1,CS-corpus.txt,18
Seems like we can move the construction of `test_facebook_post` to the setup and just change the `postedDateTime` before the put.,0,CS-corpus.txt,19
I'd remove the default here if we expect this to always have a value. Better than providing an empty string where we wouldn't want one.,0,CS-corpus.txt,20
Could this be a more descriptive name? I assume the `blocker` bit was due to the issue type and not the test case,1,CS-corpus.txt,21
"+1 this will fail with a cryptic error: ``` >>> ""{}{}"".format("""") Traceback (most recent call last):   File ""<stdin>"", line 1, in <module> IndexError: tuple index out of range ```",0,CS-corpus.txt,22
also +1 This test name won't mean anything in a month,1,CS-corpus.txt,23
Were we wanting to change the SDK files?,0,CS-corpus.txt,24
Presence builder is in the first line,1,CS-corpus.txt,25
they will just get overwritten but it is all just doc string changes anyway,0,CS-corpus.txt,26
Fair!,0,CS-corpus.txt,27
I would revert this file. It'll be confusing to the next person who generates the SDK when they have 18 lines they didn't know were changes.,0,CS-corpus.txt,28
This is literally the 1 line that matters.,0,CS-corpus.txt,29
This is in vtest isn't it?,1,CS-corpus.txt,30
https://github.com/vendasta/VA-vtest/pull/65/files,1,CS-corpus.txt,31
Good job on a descriptive tag!,0,CS-corpus.txt,32
You aren't passing any arguments to your deferred function.,0,CS-corpus.txt,33
It would save effort to do this check before the defer.,0,CS-corpus.txt,34
"But you just guaranteed that `account_group.facebook_url` is `None`. You need the listing, I think.",1,CS-corpus.txt,35
yeah.. I messed up hehe. I was in a bit of a rush,0,CS-corpus.txt,36
"This look really elegant, and it's super easy to read. However, my complaint is that there's a lot of duplicate (triplicate?) code. I would really prefer seeing a single modular method for this. Your `if` chain could instead add the social url to a list of kwargs to pass into `updateAccountGroupV3`",1,CS-corpus.txt,37
I really like how you encapsulate this ?,0,CS-corpus.txt,38
?,0,CS-corpus.txt,39
This will replace the social_url on the account group even if the user has already set it to something else. Will this be a problem? I guess the social_url should probably be the same as the listing we're tracking for that source..,1,CS-corpus.txt,40
That's fair. That's what I thought earlier.  I just can't think of a case in which they wouldn't want the two to be in sync.,1,CS-corpus.txt,41
do we want to have a retry limit?,0,CS-corpus.txt,42
